corrida,qualidade,secao,sequencia,sequenciatotal,acoatual,al_min,c_min,c_max,n_min,s_min,corridasciclo,panela,vidapanela,temperaturaliquidus,temperaturaobjetivada,sugestaomodelolegado,temperaturasaidafp,tempociclo,temperaturamediareal
132198,4D097,300,4.0,10.0,X,0.015,0.51,0.55,0.0,0.01,10.0,2.0,10.0,1487.0,1527.0,1644.949462890625,1649.0,2593.0,1524.0
132197,4D097,300,3.0,10.0,X,0.015,0.51,0.55,0.0,0.01,25.0,4.0,45.0,1487.0,1527.0,0.0,1649.0,6964.0,1533.0
132196,4D097,300,2.0,10.0,X,0.015,0.51,0.55,0.0,0.01,26.0,14.0,32.0,1487.0,1527.0,0.0,1643.0,7181.0,1538.0
132195,4D097,300,1.0,10.0,X,0.015,0.51,0.55,0.0,0.01,25.0,15.0,29.0,1487.0,1527.0,1655.5401611328125,1657.0,6902.0,1532.0
132194,FC47C,300,9.0,9.0,X,0.015,0.45,0.48,0.0,0.01,25.0,7.0,25.0,1480.0,1525.0,1644.7342529296875,1646.0,6951.0,1530.0
132193,FC47C,300,8.0,9.0,X,0.015,0.45,0.48,0.0,0.01,9.0,2.0,9.0,1480.0,1525.0,1643.6441650390625,1641.0,2307.0,1531.0
132192,FC47C,300,7.0,9.0,X,0.015,0.45,0.48,0.0,0.01,24.0,4.0,44.0,1480.0,1525.0,1642.8790283203125,1645.0,6673.0,1542.0
132191,FC47C,300,6.0,9.0,X,0.015,0.45,0.48,0.0,0.01,25.0,14.0,31.0,1480.0,1525.0,1643.2740478515625,1645.0,6891.0,1535.0
132190,FC47C,300,5.0,9.0,X,0.015,0.45,0.48,0.0,0.01,24.0,15.0,28.0,1480.0,1525.0,1637.599365234375,1647.0,6628.0,1537.0
132189,FC47C,300,4.0,9.0,X,0.015,0.45,0.48,0.0,0.01,24.0,7.0,24.0,1480.0,1525.0,1643.749267578125,1647.0,6679.0,1526.0
132188,FC47C,300,3.0,9.0,X,0.015,0.45,0.48,0.0,0.01,8.0,2.0,8.0,1480.0,1525.0,1645.141845703125,1642.0,2034.0,1521.0
132187,FC47C,300,2.0,9.0,X,0.015,0.45,0.48,0.0,0.01,23.0,4.0,43.0,1480.0,1525.0,1635.9378662109375,1640.0,6405.0,1540.0
132186,FC47C,300,1.0,9.0,X,0.015,0.45,0.48,0.0,0.01,24.0,14.0,30.0,1480.0,1525.0,1655.5147705078125,1643.0,6633.0,1526.0
132185,28B54,300,2.0,2.0,B,0.01,0.32,0.35,0.0,0.015,23.0,15.0,27.0,1490.0,1535.0,1652.6533203125,1653.0,6335.0,1542.0
132184,FC47C,300,3.0,11.0,X,0.015,0.45,0.48,0.0,0.01,23.0,7.0,23.0,1480.0,1525.0,1634.4957275390625,,6364.0,1540.0
132183,FC47C,300,2.0,11.0,X,0.015,0.45,0.48,0.0,0.01,7.0,2.0,7.0,1480.0,1525.0,1644.335693359375,1646.0,1717.0,1533.0
132182,FC47C,300,1.0,11.0,X,0.015,0.45,0.48,0.0,0.01,22.0,4.0,42.0,1480.0,1525.0,1662.062744140625,1659.0,6092.0,1540.0
132181,2D42F,300,8.0,8.0,B,0.005,0.36,0.39,0.0,0.01,23.0,14.0,29.0,1492.0,1547.0,1676.830078125,1677.0,6316.0,1544.0
132180,2D42F,300,7.0,8.0,B,0.005,0.36,0.39,0.0,0.01,22.0,15.0,26.0,1492.0,1547.0,1676.333984375,1681.0,6043.0,1548.0
132179,2D42F,300,6.0,8.0,B,0.005,0.36,0.39,0.0,0.01,22.0,7.0,22.0,1492.0,1547.0,1676.3463134765625,1675.0,6082.0,1539.0
132178,2D42F,300,5.0,8.0,B,0.005,0.36,0.39,0.0,0.01,6.0,2.0,6.0,1492.0,1547.0,1674.922119140625,1678.0,1435.0,1547.0
132177,2D42F,300,4.0,8.0,B,0.005,0.36,0.39,0.0,0.01,21.0,4.0,41.0,1492.0,1547.0,1670.4776611328125,1680.0,5808.0,1547.0
132176,2D42F,300,3.0,8.0,B,0.005,0.36,0.39,0.0,0.01,22.0,14.0,28.0,1492.0,1547.0,1675.0472412109375,1673.0,6026.0,1557.0
132175,2D42F,300,2.0,8.0,B,0.005,0.36,0.39,0.0,0.01,21.0,15.0,25.0,1492.0,1547.0,1670.16845703125,1675.0,5744.0,1552.0
132174,2D42F,300,1.0,8.0,B,0.005,0.36,0.39,0.0,0.01,21.0,7.0,21.0,1492.0,1547.0,1699.3990478515625,1699.0,5791.0,1549.0
132173,7FEAB,300,6.0,6.0,X,0.02,0.2,0.22,0.009,0.02,5.0,2.0,5.0,1506.0,1546.0,1670.525390625,1681.0,1145.0,1559.0
132172,7FEAB,300,5.0,6.0,X,0.02,0.2,0.22,0.009,0.02,20.0,4.0,40.0,1506.0,1546.0,1667.2032470703125,1676.0,5517.0,1568.0
132171,7FEAB,300,4.0,6.0,X,0.02,0.2,0.22,0.009,0.02,21.0,14.0,27.0,1506.0,1546.0,1662.9677734375,1672.0,5734.0,1561.0
132170,7FEAB,300,3.0,6.0,X,0.02,0.2,0.22,0.009,0.02,20.0,15.0,24.0,1506.0,1546.0,1662.4808349609375,1681.0,5466.0,1558.0
132169,7FEAB,300,2.0,6.0,X,0.02,0.2,0.22,0.009,0.02,20.0,7.0,20.0,1506.0,1546.0,1658.5294189453125,1668.0,5512.0,1545.0
132168,603D2,300,1.0,6.0,X,0.01,0.26,0.29,0.009,0.02,4.0,2.0,4.0,1496.0,1536.0,1672.9666748046875,1672.0,863.0,1547.0
132167,D63DF,300,7.0,7.0,V,0.005,0.37,0.4,0.01,0.03,19.0,4.0,39.0,1480.0,1525.0,1636.0235595703125,1645.0,5237.0,1533.0
132166,D63DF,300,6.0,7.0,V,0.005,0.37,0.4,0.01,0.03,20.0,14.0,26.0,1480.0,1525.0,1635.7728271484375,1654.0,5440.0,1528.0
132165,258E9,300,5.0,7.0,X,0.01,0.32,0.35,0.0,0.0,19.0,15.0,23.0,1488.0,1528.0,1636.1611328125,1650.0,5162.0,1534.0
132164,258E9,300,4.0,7.0,X,0.01,0.32,0.35,0.0,0.0,19.0,7.0,19.0,1488.0,1528.0,1638.0667724609375,1649.0,5196.0,1531.0
132163,EF256,300,3.0,7.0,B,0.015,0.56,0.64,0.0,0.0,3.0,2.0,3.0,1481.0,1526.0,1646.2303466796875,1671.0,545.0,1528.0
132162,EF256,300,2.0,7.0,B,0.015,0.56,0.64,0.0,0.0,18.0,4.0,38.0,1481.0,1526.0,1649.945556640625,1647.0,4909.0,1523.0
132161,E7641,300,1.0,7.0,X,0.015,0.58,0.62,0.0,0.0,19.0,14.0,25.0,1480.0,1520.0,1642.58642578125,1644.0,5124.0,1523.0
132160,B7DF0,300,3.0,3.0,X,0.015,0.38,0.42,0.0,0.02,18.0,15.0,22.0,1486.0,1531.0,1651.177490234375,1662.0,4827.0,1539.0
132159,2556F,300,6.0,7.0,X,0.01,0.48,0.53,0.008,0.0,2.0,2.0,2.0,1486.0,1516.0,1640.750244140625,1641.0,284.0,1523.0
132158,2556F,300,5.0,7.0,X,0.01,0.48,0.53,0.008,0.0,18.0,7.0,18.0,1486.0,1516.0,1635.160400390625,1650.0,4821.0,1532.0
132157,E0B89,300,4.0,7.0,X,0.02,0.25,0.27,0.01,0.01,17.0,4.0,37.0,1501.0,1546.0,1673.5174560546875,1678.0,4592.0,1543.0
132156,4B82B,300,3.0,7.0,X,0.02,0.3,0.33,0.006,0.02,18.0,14.0,24.0,1495.0,1540.0,1652.5093994140625,1655.0,4814.0,1553.0
132155,4B82B,300,2.0,7.0,X,0.02,0.3,0.33,0.006,0.02,17.0,15.0,21.0,1495.0,1540.0,1649.51904296875,1668.0,4539.0,1546.0
132154,4B82B,300,1.0,7.0,X,0.02,0.3,0.33,0.006,0.02,1.0,2.0,1.0,1495.0,1540.0,1699.478271484375,1701.0,0.0,1549.0
132153,D398B,300,6.0,6.0,X,0.02,0.19,0.22,0.009,0.02,17.0,7.0,17.0,1506.0,1551.0,1673.158203125,1677.0,4453.0,1553.0
132152,D398B,300,5.0,6.0,X,0.02,0.19,0.22,0.009,0.02,16.0,4.0,36.0,1506.0,1551.0,1664.350830078125,1671.0,4209.0,1558.0
132151,D398B,300,4.0,6.0,X,0.02,0.19,0.22,0.009,0.02,17.0,14.0,23.0,1506.0,1551.0,1668.8592529296875,1664.0,4422.0,1570.0
132150,D398B,300,3.0,6.0,X,0.02,0.19,0.22,0.009,0.02,16.0,15.0,20.0,1506.0,1551.0,1666.1282958984375,1673.0,4146.0,1558.0
132149,D398B,300,2.0,6.0,X,0.02,0.19,0.22,0.009,0.02,16.0,7.0,16.0,1506.0,1551.0,1668.204345703125,1670.0,4183.0,1571.0
132148,D398B,300,1.0,6.0,X,0.02,0.19,0.22,0.009,0.02,15.0,4.0,35.0,1506.0,1551.0,1687.879638671875,1699.0,3962.0,1562.0
132147,25632,300,2.0,2.0,X,0.01,0.96,1.02,0.008,0.0,16.0,14.0,22.0,1460.0,1485.0,1602.138427734375,1611.0,4190.0,1492.0
132146,25632,300,1.0,2.0,X,0.01,0.96,1.02,0.008,0.0,15.0,15.0,19.0,1460.0,1485.0,1616.643798828125,1624.0,3921.0,1491.0
132145,7BE94,300,7.0,7.0,X,0.02,0.15,0.17,0.008,0.02,15.0,7.0,15.0,1509.0,1554.0,1665.075927734375,1679.0,3964.0,1556.0
132144,CA2FD,300,6.0,7.0,X,0.02,0.15,0.17,0.009,0.02,14.0,4.0,34.0,1507.0,1552.0,1666.5736083984375,1670.0,3744.0,1557.0
132143,CA2FD,300,5.0,7.0,X,0.02,0.15,0.17,0.009,0.02,15.0,14.0,21.0,1507.0,1552.0,1674.7086181640625,1678.0,3967.0,1553.0
132142,CA2FD,300,4.0,7.0,X,0.02,0.15,0.17,0.009,0.02,11.0,5.0,59.0,1507.0,1552.0,1667.134765625,1672.0,2963.0,1560.0
132141,CA2FD,300,3.0,7.0,X,0.02,0.15,0.17,0.009,0.02,14.0,15.0,18.0,1507.0,1552.0,1666.80029296875,1671.0,3653.0,1555.0
132140,CA2FD,300,2.0,7.0,X,0.02,0.15,0.17,0.009,0.02,14.0,7.0,14.0,1507.0,1552.0,1673.5452880859375,1669.0,3694.0,1554.0
132139,CE16F,300,1.0,7.0,X,0.02,0.15,0.17,0.008,0.02,13.0,4.0,33.0,1507.0,1552.0,1689.212890625,1685.0,3461.0,1561.0
132138,F7AB5,300,7.0,7.0,X,0.015,0.42,0.44,0.0,0.02,14.0,14.0,20.0,1481.0,1526.0,1643.9185791015625,1647.0,3604.0,1530.0
132137,F7AB5,300,6.0,7.0,X,0.015,0.42,0.44,0.0,0.02,13.0,15.0,17.0,1481.0,1526.0,1643.2020263671875,1645.0,3336.0,1531.0
132136,57414,300,5.0,7.0,X,0.01,0.38,0.43,0.0,0.02,10.0,5.0,58.0,1486.0,1526.0,1649.1480712890625,1650.0,2546.0,1542.0
132135,57414,300,4.0,7.0,X,0.01,0.38,0.43,0.0,0.02,13.0,7.0,13.0,1486.0,1526.0,1642.399658203125,1645.0,3340.0,1531.0
132134,7BECD,300,3.0,7.0,X,0.01,0.38,0.43,0.0,0.0,12.0,4.0,32.0,1485.0,1525.0,1636.9163818359375,1646.0,3124.0,1532.0
132133,7BECD,300,2.0,7.0,X,0.01,0.38,0.43,0.0,0.0,13.0,14.0,19.0,1485.0,1525.0,1634.3599853515625,1655.0,3346.0,1540.0
132132,7BECD,300,1.0,7.0,X,0.01,0.38,0.43,0.0,0.0,12.0,15.0,16.0,1485.0,1525.0,1657.033447265625,1655.0,3079.0,1529.0
132131,F10E0,300,8.0,8.0,X,0.02,0.15,0.18,0.008,0.0,9.0,5.0,57.0,1511.0,1552.0,1661.400390625,1681.0,2286.0,1561.0
132130,F10E0,300,7.0,8.0,X,0.02,0.15,0.18,0.008,0.0,12.0,7.0,12.0,1511.0,1552.0,1664.307861328125,1665.0,3077.0,1550.0
132129,87A17,300,6.0,8.0,X,0.022,0.2,0.22,0.0,0.02,11.0,4.0,31.0,1505.0,1535.0,1656.1123046875,1663.0,2864.0,1545.0
132128,87A17,300,5.0,8.0,X,0.022,0.2,0.22,0.0,0.02,12.0,14.0,18.0,1505.0,1535.0,1657.564208984375,1647.0,3086.0,1548.0
132127,77C04,300,4.0,8.0,X,0.02,0.17,0.22,0.01,0.01,11.0,15.0,15.0,1502.0,1547.0,1672.8502197265625,1674.0,2825.0,1555.0
132126,77C04,300,3.0,8.0,X,0.02,0.17,0.22,0.01,0.01,8.0,5.0,56.0,1502.0,1547.0,1674.2020263671875,1675.0,2031.0,1556.0
132125,77C04,300,2.0,8.0,X,0.02,0.17,0.22,0.01,0.01,11.0,7.0,11.0,1502.0,1547.0,1672.8177490234375,1679.0,2820.0,1551.0
132124,E109B,300,1.0,8.0,X,0.02,0.2,0.22,0.0,0.02,10.0,4.0,30.0,1502.0,1542.0,1677.08251953125,1674.0,2603.0,1547.0
132123,90F69,300,5.0,5.0,V,0.015,0.28,0.31,0.0,0.0,11.0,14.0,17.0,1496.0,1551.0,1674.4010009765625,1673.0,2827.0,1554.0
132122,90F69,300,4.0,5.0,V,0.015,0.28,0.31,0.0,0.0,10.0,15.0,14.0,1496.0,1551.0,1673.7392578125,1680.0,2562.0,1547.0
132121,90F69,300,3.0,5.0,V,0.015,0.28,0.31,0.0,0.0,7.0,5.0,55.0,1496.0,1551.0,1672.9234619140625,1668.0,1770.0,1560.0
132120,90F69,300,2.0,5.0,V,0.015,0.28,0.31,0.0,0.0,10.0,7.0,10.0,1496.0,1551.0,1666.1756591796875,1676.0,2541.0,1543.0
132119,1D3E9,300,1.0,5.0,X,0.005,0.51,0.54,0.0,0.008,9.0,4.0,29.0,1484.0,1529.0,1663.299072265625,1673.0,2314.0,1529.0
132118,C8E9A,300,4.0,4.0,X,0.02,0.19,0.22,0.009,0.0,10.0,14.0,16.0,1505.0,1545.0,1664.514892578125,1672.0,2537.0,1558.0
132117,FEDC9,300,3.0,4.0,X,0.02,0.17,0.19,0.01,0.01,9.0,15.0,13.0,1506.0,1551.0,1676.3748779296875,1678.0,2267.0,1560.0
132116,8E733,300,2.0,4.0,X,0.02,0.17,0.2,0.01,0.02,6.0,5.0,54.0,1506.0,1546.0,1663.58349609375,1666.0,1470.0,1564.0
132115,8E733,300,1.0,4.0,X,0.02,0.17,0.2,0.01,0.02,9.0,7.0,9.0,1506.0,1546.0,1685.2918701171875,1684.0,2263.0,1553.0
132114,248B5,300,6.0,6.0,X,0.02,0.21,0.23,0.009,0.02,8.0,4.0,28.0,1506.0,1551.0,1670.063720703125,1667.0,2043.0,1547.0
132113,248B5,300,5.0,6.0,X,0.02,0.21,0.23,0.009,0.02,9.0,14.0,15.0,1506.0,1551.0,1669.902587890625,1676.0,2249.0,1554.0
132112,248B5,300,4.0,6.0,X,0.02,0.21,0.23,0.009,0.02,8.0,15.0,12.0,1506.0,1551.0,1670.9954833984375,1662.0,1988.0,1543.0
132111,248B5,300,3.0,6.0,X,0.02,0.21,0.23,0.009,0.02,5.0,5.0,53.0,1506.0,1551.0,1669.658203125,1666.0,1199.0,1546.0
132110,27480,300,2.0,6.0,X,0.02,0.21,0.23,0.009,0.02,8.0,7.0,8.0,1506.0,1551.0,1670.0433349609375,1667.0,1980.0,1553.0
132109,27480,300,1.0,6.0,X,0.02,0.21,0.23,0.009,0.02,7.0,4.0,27.0,1506.0,1551.0,1695.406982421875,1692.0,1767.0,1557.0
132108,889AE,300,4.0,4.0,B,0.02,0.16,0.18,0.012,0.01,8.0,14.0,14.0,1507.0,1532.0,1636.78369140625,1654.0,1993.0,1554.0
132107,889AE,300,3.0,4.0,B,0.02,0.16,0.18,0.012,0.01,7.0,15.0,11.0,1507.0,1532.0,1639.59228515625,1645.0,1721.0,1543.0
132106,889AE,300,2.0,4.0,B,0.02,0.16,0.18,0.012,0.01,4.0,5.0,52.0,1507.0,1532.0,1640.1270751953125,1643.0,924.0,1547.0
132105,889AE,300,1.0,4.0,B,0.02,0.16,0.18,0.012,0.01,7.0,7.0,7.0,1507.0,1532.0,1673.8011474609375,1678.0,1701.0,1547.0
132104,9A58C,300,7.0,7.0,X,0.0,0.37,0.45,0.008,0.08,6.0,4.0,26.0,1480.0,1525.0,1635.1529541015625,1650.0,1484.0,1539.0
132103,9A58C,300,6.0,7.0,X,0.0,0.37,0.45,0.008,0.08,7.0,14.0,13.0,1480.0,1525.0,1634.57080078125,1646.0,1706.0,1540.0
132102,9A58C,300,5.0,7.0,X,0.0,0.37,0.45,0.008,0.08,6.0,15.0,10.0,1480.0,1525.0,1629.4910888671875,1646.0,1442.0,1525.0
132101,47D7D,300,4.0,7.0,X,0.0,0.37,0.41,0.011,0.08,3.0,5.0,51.0,1480.0,1525.0,1637.746826171875,1652.0,643.0,1527.0
132100,47D7D,300,3.0,7.0,X,0.0,0.37,0.41,0.011,0.08,6.0,7.0,6.0,1480.0,1525.0,1637.787109375,1650.0,1375.0,1528.0
132099,47D7D,300,2.0,7.0,X,0.0,0.37,0.41,0.011,0.08,6.0,14.0,12.0,1480.0,1525.0,1633.1268310546875,1649.0,1428.0,1532.0
132098,47D7D,300,1.0,7.0,X,0.0,0.37,0.41,0.011,0.08,5.0,4.0,25.0,1480.0,1525.0,1655.965087890625,1645.0,1095.0,1532.0
132097,27A7C,300,7.0,7.0,X,0.02,0.43,0.47,0.0,0.015,5.0,15.0,9.0,1480.0,1515.0,1638.965087890625,1637.0,1092.0,1532.0
132096,FC47C,300,6.0,7.0,X,0.015,0.45,0.48,0.0,0.01,2.0,5.0,50.0,1480.0,1525.0,1642.4793701171875,1631.0,292.0,1529.0
132095,FC47C,300,5.0,7.0,X,0.015,0.45,0.48,0.0,0.01,5.0,7.0,5.0,1480.0,1525.0,1645.2452392578125,1642.0,1072.0,1530.0
132094,FC47C,300,4.0,7.0,X,0.015,0.45,0.48,0.0,0.01,5.0,14.0,11.0,1480.0,1525.0,1641.7939453125,1642.0,1128.0,1537.0
132093,FC47C,300,3.0,7.0,X,0.015,0.45,0.48,0.0,0.01,4.0,4.0,24.0,1480.0,1525.0,1639.7899169921875,1643.0,792.0,1534.0
132092,FC47C,300,2.0,7.0,X,0.015,0.45,0.48,0.0,0.01,4.0,15.0,8.0,1480.0,1525.0,1642.6416015625,1646.0,798.0,1521.0
132091,FC47C,300,1.0,7.0,X,0.015,0.45,0.48,0.0,0.01,1.0,5.0,49.0,1480.0,1525.0,1672.2708740234375,1674.0,0.0,1523.0
132090,4A0F0,300,6.0,6.0,X,0.0,0.39,0.42,0.0,0.03,4.0,7.0,4.0,1488.0,1528.0,1638.144287109375,1653.0,785.0,1542.0
132089,4A0F0,300,5.0,6.0,X,0.0,0.39,0.42,0.0,0.03,4.0,14.0,10.0,1488.0,1528.0,1637.9864501953125,1640.0,842.0,1538.0
132088,4A0F0,300,4.0,6.0,X,0.0,0.39,0.42,0.0,0.03,3.0,4.0,23.0,1488.0,1528.0,1642.290283203125,1644.0,505.0,1532.0
132087,4A0F0,300,3.0,6.0,X,0.0,0.39,0.42,0.0,0.03,3.0,15.0,7.0,1488.0,1528.0,1642.3682861328125,1643.0,513.0,1533.0
132086,4A0F0,300,2.0,6.0,X,0.0,0.39,0.42,0.0,0.03,3.0,7.0,3.0,1488.0,1528.0,1644.149169921875,1649.0,535.0,1531.0
132085,4A0F0,300,1.0,6.0,X,0.0,0.39,0.42,0.0,0.03,3.0,14.0,9.0,1488.0,1528.0,1657.3603515625,1659.0,590.0,1530.0
132084,CB239,300,8.0,8.0,V,0.0,0.69,0.73,0.012,0.06,2.0,4.0,22.0,1474.0,1499.0,1621.4666748046875,1623.0,261.0,1507.0
132083,CB239,300,7.0,8.0,V,0.0,0.69,0.73,0.012,0.06,2.0,15.0,6.0,1474.0,1499.0,1617.7041015625,1619.0,252.0,1509.0
132082,CB239,300,6.0,8.0,V,0.0,0.69,0.73,0.012,0.06,2.0,7.0,2.0,1474.0,1499.0,1621.5234375,1628.0,292.0,1505.0
132081,CB239,300,5.0,8.0,V,0.0,0.69,0.73,0.012,0.06,2.0,14.0,8.0,1474.0,1499.0,1617.520751953125,1619.0,347.0,1501.0
132080,CB239,300,4.0,8.0,V,0.0,0.69,0.73,0.012,0.06,1.0,4.0,21.0,1474.0,1499.0,1636.6220703125,1650.0,0.0,1504.0
132079,CB239,300,3.0,8.0,V,0.0,0.69,0.73,0.012,0.06,1.0,15.0,5.0,1474.0,1499.0,1636.1402587890625,1644.0,0.0,1506.0
132078,CB239,300,2.0,8.0,V,0.0,0.69,0.73,0.012,0.06,1.0,7.0,1.0,1474.0,1499.0,1642.1185302734375,1644.0,0.0,1511.0
132077,CB239,300,1.0,8.0,V,0.0,0.69,0.73,0.012,0.06,1.0,14.0,7.0,1474.0,1499.0,1652.5018310546875,1642.0,0.0,1509.0
132076,4A0F0,300,3.0,3.0,X,0.0,0.39,0.42,0.0,0.03,20.0,5.0,48.0,1488.0,1528.0,1645.4599609375,1644.0,5576.0,1532.0
132075,4A0F0,300,2.0,3.0,X,0.0,0.39,0.42,0.0,0.03,4.0,15.0,4.0,1488.0,1528.0,1644.0955810546875,1651.0,864.0,1534.0
132074,4A0F0,300,1.0,9.0,X,0.0,0.39,0.42,0.0,0.03,10.0,2.0,38.0,1488.0,1528.0,1651.531982421875,1662.0,3050.0,1537.0
132073,DCC51,300,4.0,4.0,V,0.01,0.29,0.32,0.012,0.03,20.0,4.0,20.0,1486.0,1536.0,1664.148193359375,1663.0,5473.0,1536.0
132072,D63DF,300,3.0,4.0,V,0.005,0.37,0.4,0.01,0.03,6.0,14.0,6.0,1480.0,1525.0,1636.0439453125,1644.0,1552.0,1520.0
132071,D63DF,300,2.0,4.0,V,0.005,0.37,0.4,0.01,0.03,19.0,5.0,47.0,1480.0,1525.0,1636.398681640625,1637.0,5302.0,1527.0
132070,D63DF,300,1.0,4.0,V,0.005,0.37,0.4,0.01,0.03,3.0,15.0,3.0,1480.0,1525.0,1669.7364501953125,1677.0,593.0,1529.0
132069,D63DF,300,3.0,7.0,V,0.005,0.37,0.4,0.01,0.03,9.0,2.0,37.0,1480.0,1525.0,1628.2750244140625,1637.0,2746.0,1525.0
132068,D63DF,300,2.0,7.0,V,0.005,0.37,0.4,0.01,0.03,19.0,4.0,19.0,1480.0,1525.0,1634.1544189453125,1640.0,5162.0,1524.0
132067,D63DF,300,1.0,7.0,V,0.005,0.37,0.4,0.01,0.03,5.0,14.0,5.0,1480.0,1525.0,1655.9779052734375,1659.0,1238.0,1520.0
